scenario,scenario_type,seed,total_arrivals,served_customers,served_within_horizon,abandoned_customers,avg_wait_time,avg_wait_served,avg_wait_abandoned,avg_system_time,avg_queue_length,max_queue_length,utilization_percent,throughput_per_hour,abandonment_percent,num_kiosks,mean_interarrival_time,mean_service_time,patience_time,duration,reactive_threshold,iteration
Beban Sangat Rendah,base,80109,39,39,39,0,0.0,0.0,0.0,2.969759329707737,0.0,0,6.032323638468841,4.875,0.0,4,10.0,3.0,20.0,480,4,110
Beban Sangat Rendah,base,80110,51,51,51,0,0.0,0.0,0.0,3.0786939248373204,0.0,0,8.17778073784913,6.375,0.0,4,10.0,3.0,20.0,480,4,111
Beban Sangat Rendah,base,80111,47,47,47,0,0.0,0.0,0.0,3.0232020349217454,0.0,0,7.400546647985516,5.875,0.0,4,10.0,3.0,20.0,480,4,112
Beban Sangat Rendah,base,80112,53,53,53,0,0.0,0.0,0.0,3.0727879732290257,0.0,0,8.482175134434291,6.625,0.0,4,10.0,3.0,20.0,480,4,113
Beban Sangat Rendah,base,80113,46,46,46,0,0.0,0.0,0.0,3.1090207117078297,0.0,0,7.4486954551333415,5.75,0.0,4,10.0,3.0,20.0,480,4,114
Beban Sangat Rendah,base,80114,51,51,50,0,0.0,0.0,0.0,3.0952418117883704,0.0,0,8.103802755063837,6.25,0.0,4,10.0,3.0,20.0,480,4,115
Beban Sangat Rendah,base,80115,51,51,51,0,0.0,0.0,0.0,3.126745667531484,0.0,0,8.305418179380505,6.375,0.0,4,10.0,3.0,20.0,480,4,116
Beban Sangat Rendah,base,80116,57,57,57,0,0.0,0.0,0.0,3.1130623431765216,0.0,0,9.241903831305299,7.125,0.0,4,10.0,3.0,20.0,480,4,117
Beban Sangat Rendah,base,80117,50,50,50,0,0.0,0.0,0.0,3.205761611000463,0.0,0,8.348337528647042,6.25,0.0,4,10.0,3.0,20.0,480,4,118
Beban Sangat Rendah,base,80118,46,46,46,0,0.0,0.0,0.0,3.092056389532131,0.0,0,7.408051766587406,5.75,0.0,4,10.0,3.0,20.0,480,4,119
Beban Sangat Rendah,base,80119,49,49,49,0,0.0,0.0,0.0,2.9091278831220113,0.0,0,7.424336785050962,6.125,0.0,4,10.0,3.0,20.0,480,4,120
